order_id,customer_name,product,quantity,unit_price,order_date,region,total_price,customer_tier,purchase_day
1,Diana,Tablet,1.9589041095890412,500.0,2024-01-20,South,979.4520547945206,Silver,Saturday
2,Eve,Laptop,1.9589041095890412,250.0,2024-04-29,North,489.7260273972603,Bronze,Monday
3,Charlie,Laptop,2.0,250.0,2024-01-08,Not Specified,500.0,Bronze,Monday
4,Eve,Laptop,2.0,750.0,2024-01-07,West,1500.0,Gold,Sunday
5,Eve,Tablet,3.0,500.0,2024-03-07,South,1500.0,Gold,Thursday
7,Charlie,Monitor,2.0,750.0,2024-02-02,West,1500.0,Gold,Friday
8,Charlie,Laptop,3.0,250.0,2024-02-17,Not Specified,750.0,Silver,Saturday
9,Charlie,Monitor,1.9589041095890412,750.0,2024-03-16,West,1469.178082191781,Gold,Saturday
10,Eve,Monitor,1.0,500.0,2024-02-28,North,500.0,Bronze,Wednesday
11,Unknown,Monitor,3.0,750.0,2024-04-24,West,2250.0,Gold,Wednesday
12,Charlie,Tablet,2.0,750.0,2024-03-26,East,1500.0,Gold,Tuesday
13,Frank,Tablet,1.0,750.0,2024-04-28,West,750.0,Silver,Sunday
14,Eve,Tablet,1.0,500.0,2024-01-22,South,500.0,Bronze,Monday
15,Bob,Laptop,1.0,250.0,2024-04-19,South,250.0,Bronze,Friday
17,Frank,Tablet,2.0,500.0,2024-02-07,North,1000.0,Silver,Wednesday
18,Frank,Tablet,1.0,250.0,2024-04-11,South,250.0,Bronze,Thursday
19,Bob,Laptop,1.9589041095890412,250.0,2024-04-18,Not Specified,489.7260273972603,Bronze,Thursday
20,Diana,Tablet,1.0,500.0,2024-02-20,South,500.0,Bronze,Tuesday
21,Eve,Laptop,1.0,250.0,2024-02-23,South,250.0,Bronze,Friday
22,Alice,Phone,3.0,750.0,2024-01-08,North,2250.0,Gold,Monday
23,Diana,Tablet,3.0,500.0,2024-01-27,West,1500.0,Gold,Saturday
24,Bob,Phone,2.0,625.0,2024-01-27,South,1250.0,Gold,Saturday
25,Frank,Laptop,1.9589041095890412,250.0,2024-04-07,East,489.7260273972603,Bronze,Sunday
26,Eve,Monitor,3.0,750.0,2024-01-21,West,2250.0,Gold,Sunday
27,Diana,Tablet,1.0,500.0,2024-01-30,Not Specified,500.0,Bronze,Tuesday
28,Alice,Laptop,2.0,250.0,2024-04-06,North,500.0,Bronze,Saturday
29,Alice,Monitor,1.0,250.0,2024-01-28,Not Specified,250.0,Bronze,Sunday
30,Charlie,Monitor,1.0,500.0,2024-04-20,West,500.0,Bronze,Saturday
31,Charlie,Phone,3.0,750.0,2024-03-04,West,2250.0,Gold,Monday
32,Bob,Laptop,2.0,750.0,2024-04-06,West,1500.0,Gold,Saturday
33,Diana,Monitor,1.9589041095890412,500.0,2024-03-09,Not Specified,979.4520547945206,Silver,Saturday
34,Diana,Tablet,1.9589041095890412,500.0,2024-03-01,West,979.4520547945206,Silver,Friday
35,Frank,Tablet,3.0,750.0,2024-02-17,Not Specified,2250.0,Gold,Saturday
36,Frank,Phone,3.0,750.0,2024-01-19,West,2250.0,Gold,Friday
37,Frank,Monitor,2.0,500.0,2024-01-04,East,1000.0,Silver,Thursday
38,Charlie,Laptop,1.9589041095890412,250.0,2024-02-04,West,489.7260273972603,Bronze,Sunday
39,Diana,Tablet,1.9589041095890412,500.0,2024-03-04,Not Specified,979.4520547945206,Silver,Monday
40,Diana,Monitor,1.9589041095890412,500.0,2024-02-18,South,979.4520547945206,Silver,Sunday
41,Alice,Monitor,1.0,250.0,2024-01-17,West,250.0,Bronze,Wednesday
42,Charlie,Phone,1.9589041095890412,625.0,2024-02-13,South,1224.3150684931506,Gold,Tuesday
43,Eve,Tablet,1.0,500.0,2024-04-01,East,500.0,Bronze,Monday
44,Charlie,Tablet,2.0,250.0,2024-01-30,North,500.0,Bronze,Tuesday
45,Eve,Laptop,1.0,500.0,2024-04-02,East,500.0,Bronze,Tuesday
46,Alice,Tablet,2.0,250.0,2024-02-15,West,500.0,Bronze,Thursday
47,Bob,Laptop,1.9589041095890412,250.0,2024-04-26,South,489.7260273972603,Bronze,Friday
48,Diana,Tablet,1.9589041095890412,500.0,2024-01-06,South,979.4520547945206,Silver,Saturday
49,Alice,Phone,2.0,625.0,2024-04-08,Not Specified,1250.0,Gold,Monday
50,Diana,Tablet,3.0,250.0,2024-04-14,South,750.0,Silver,Sunday
51,Frank,Laptop,2.0,250.0,2024-02-06,Not Specified,500.0,Bronze,Tuesday
